T,RH,grid_emission_factor,E_tot,E_el,E_th,CO2_Out,Point
-20.0,5.0,0.0,0.0,0.0,0.0,0.0,1
-20.0,5.0,0.0,94.8561,19.1758,75.6803,94.7687,2
-20.0,20.0,0.0,0.0,0.0,0.0,0.0,1
-20.0,20.0,0.0,45.1309,9.2637,35.8672,218.8055,2
-20.0,40.0,0.0,0.0,0.0,0.0,0.0,1
-20.0,40.0,0.0,33.837,6.8912,26.9458,311.5293,2
-20.0,60.0,0.0,0.0,0.0,0.0,0.0,1
-20.0,60.0,0.0,30.084,5.9976,24.0864,369.6794,2
-20.0,80.0,0.0,0.0,0.0,0.0,0.0,1
-20.0,80.0,0.0,28.3784,5.5304,22.848,409.0457,2
-20.0,100.0,0.0,0.0,0.0,0.0,0.0,1
-20.0,100.0,0.0,27.6867,5.1801,22.5065,433.0506,2
-10.0,5.0,0.0,0.0,0.0,0.0,0.0,1
-10.0,5.0,0.0,55.531,11.8766,43.6543,177.8653,2
-10.0,20.0,0.0,0.0,0.0,0.0,0.0,1
-10.0,20.0,0.0,32.8692,7.1488,25.7204,322.7729,2
-10.0,40.0,0.0,0.0,0.0,0.0,0.0,1
-10.0,40.0,0.0,27.4375,5.93,21.5075,405.2598,2
-10.0,60.0,0.0,0.0,0.0,0.0,0.0,1
-10.0,60.0,0.0,26.5969,5.5081,21.0887,451.2106,2
-10.0,80.0,0.0,0.0,0.0,0.0,0.0,1
-10.0,80.0,0.0,26.668,5.2358,21.4322,480.5721,2
-10.0,100.0,0.0,0.0,0.0,0.0,0.0,1
-10.0,100.0,0.0,27.9131,5.0624,22.8508,499.1488,2
0.0,5.0,0.0,0.0,0.0,0.0,0.0,1
0.0,5.0,0.0,38.5923,9.4316,29.1607,255.5588,2
0.0,20.0,0.0,0.0,0.0,0.0,0.0,1
0.0,20.0,0.0,25.6206,4.8247,20.7958,386.7495,2
0.0,40.0,0.0,0.0,0.0,0.0,0.0,1
0.0,40.0,0.0,23.484,4.5952,18.8888,451.8829,2
0.0,60.0,0.0,0.0,0.0,0.0,0.0,1
0.0,60.0,0.0,24.6782,5.5569,19.1213,488.8999,2
0.0,80.0,0.0,0.0,0.0,0.0,0.0,1
0.0,80.0,0.0,24.3016,5.0374,19.2642,503.0415,2
0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
0.0,100.0,0.0,28.4039,4.816,23.5879,499.6507,2
10.0,5.0,0.0,0.0,0.0,0.0,0.0,1
10.0,5.0,0.0,32.8131,8.9903,23.8228,302.2129,2
10.0,20.0,0.0,0.0,0.0,0.0,0.0,1
10.0,20.0,0.0,24.9314,6.7985,18.1329,415.5599,2
10.0,40.0,0.0,0.0,0.0,0.0,0.0,1
10.0,40.0,0.0,23.3209,6.2641,17.0568,468.2883,2
10.0,60.0,0.0,0.0,0.0,0.0,0.0,1
10.0,60.0,0.0,23.7135,5.8531,17.8603,496.5142,2
10.0,80.0,0.0,0.0,0.0,0.0,0.0,1
10.0,80.0,0.0,24.3162,5.4182,18.898,496.6281,2
10.0,100.0,0.0,0.0,0.0,0.0,0.0,1
10.0,100.0,0.0,26.4636,5.0998,21.3638,487.2534,2
20.0,5.0,0.0,0.0,0.0,0.0,0.0,1
20.0,5.0,0.0,29.2858,9.2272,20.0587,324.5588,2
20.0,20.0,0.0,0.0,0.0,0.0,0.0,1
20.0,20.0,0.0,24.1953,7.3133,16.8821,421.4176,2
