T,RH,E_tot,E_el,E_th,CO2_Out,Point
-20.0,5.0,0.0,0.0,0.0,0.0,1
-20.0,5.0,50.861,4.5906,46.2704,39.6919,2
-20.0,20.0,0.0,0.0,0.0,0.0,1
-20.0,20.0,26.5772,2.2546,24.3226,173.6667,2
-20.0,40.0,0.0,0.0,0.0,0.0,1
-20.0,40.0,21.9767,2.5341,19.4426,269.7718,2
-20.0,60.0,0.0,0.0,0.0,0.0,1
-20.0,60.0,20.2496,2.4475,17.8021,323.4995,2
-20.0,80.0,0.0,0.0,0.0,0.0,1
-20.0,80.0,20.273,2.5995,17.6735,363.7189,2
-20.0,100.0,0.0,0.0,0.0,0.0,1
-20.0,100.0,20.2494,2.3527,17.8967,380.0216,2
-10.0,5.0,0.0,0.0,0.0,0.0,1
-10.0,5.0,29.3594,2.2402,27.1192,144.5079,2
-10.0,20.0,0.0,0.0,0.0,0.0,1
-10.0,20.0,20.4602,2.1052,18.3549,284.8966,2
-10.0,40.0,0.0,0.0,0.0,0.0,1
-10.0,40.0,18.2644,2.0198,16.2446,366.7532,2
-10.0,60.0,0.0,0.0,0.0,0.0,1
-10.0,60.0,18.0324,1.9982,16.0342,411.9688,2
-10.0,80.0,0.0,0.0,0.0,0.0,1
-10.0,80.0,18.1294,1.8895,16.2399,432.017,2
-10.0,100.0,0.0,0.0,0.0,0.0,1
-10.0,100.0,19.3394,1.8097,17.5298,444.3242,2
0.0,5.0,0.0,0.0,0.0,0.0,1
0.0,5.0,22.8834,2.1169,20.7665,227.7066,2
0.0,20.0,0.0,0.0,0.0,0.0,1
0.0,20.0,17.5034,1.9376,15.5658,356.2606,2
0.0,40.0,0.0,0.0,0.0,0.0,1
0.0,40.0,16.4525,1.8338,14.6187,420.1453,2
0.0,60.0,0.0,0.0,0.0,0.0,1
0.0,60.0,16.6056,1.8661,14.7395,448.3616,2
0.0,80.0,0.0,0.0,0.0,0.0,1
0.0,80.0,17.8895,1.7813,16.1082,467.9352,2
0.0,100.0,0.0,0.0,0.0,0.0,1
0.0,100.0,19.7864,1.6082,18.1782,469.5368,2
10.0,5.0,0.0,0.0,0.0,0.0,1
10.0,5.0,19.5741,2.132,17.442,276.6165,2
10.0,20.0,0.0,0.0,0.0,0.0,1
10.0,20.0,15.955,1.8629,14.0921,386.8737,2
10.0,40.0,0.0,0.0,0.0,0.0,1
10.0,40.0,15.5012,1.8175,13.6837,440.3498,2
10.0,60.0,0.0,0.0,0.0,0.0,1
10.0,60.0,16.2898,1.8553,14.4346,469.1557,2
10.0,80.0,0.0,0.0,0.0,0.0,1
10.0,80.0,17.3883,1.6966,15.6917,471.5973,2
10.0,100.0,0.0,0.0,0.0,0.0,1
10.0,100.0,19.1815,1.4641,17.7174,462.9712,2
20.0,5.0,0.0,0.0,0.0,0.0,1
20.0,5.0,18.1086,2.2192,15.8895,304.0249,2
20.0,20.0,0.0,0.0,0.0,0.0,1
20.0,20.0,15.3116,1.9545,13.3571,399.5274,2
20.0,40.0,0.0,0.0,0.0,0.0,1
20.0,40.0,15.1624,1.8726,13.2898,445.4127,2
20.0,60.0,0.0,0.0,0.0,0.0,1
20.0,60.0,15.6744,1.8178,13.8566,465.9339,2
20.0,80.0,0.0,0.0,0.0,0.0,1
20.0,80.0,16.2692,1.5385,14.7307,458.6164,2
20.0,100.0,0.0,0.0,0.0,0.0,1
20.0,100.0,18.5942,1.4091,17.1851,443.4467,2
30.0,5.0,0.0,0.0,0.0,0.0,1
30.0,5.0,16.3395,2.0641,14.2754,303.7798,2
30.0,20.0,0.0,0.0,0.0,0.0,1
30.0,20.0,14.603,1.9115,12.6915,390.7864,2
30.0,40.0,0.0,0.0,0.0,0.0,1
30.0,40.0,14.3144,1.8529,12.4615,430.3509,2
30.0,60.0,0.0,0.0,0.0,0.0,1
30.0,60.0,15.3326,1.7859,13.5467,447.6312,2
30.0,80.0,0.0,0.0,0.0,0.0,1
30.0,80.0,16.2362,1.6318,14.6043,441.3886,2
30.0,100.0,0.0,0.0,0.0,0.0,1
30.0,100.0,19.1564,1.4413,17.7152,425.8505,2
40.0,5.0,0.0,0.0,0.0,0.0,1
40.0,5.0,16.0976,2.1632,13.9344,290.5403,2
40.0,20.0,0.0,0.0,0.0,0.0,1
40.0,20.0,13.8893,1.9576,11.9317,365.01,2
40.0,40.0,0.0,0.0,0.0,0.0,1
40.0,40.0,14.0914,1.923,12.1684,403.7884,2
40.0,60.0,0.0,0.0,0.0,0.0,1
40.0,60.0,14.2796,1.6268,12.6528,410.8082,2
40.0,80.0,0.0,0.0,0.0,0.0,1
40.0,80.0,16.3782,1.7238,14.6544,413.9019,2
40.0,100.0,0.0,0.0,0.0,0.0,1
40.0,100.0,20.2793,1.7218,18.5575,405.7305,2
