LinePyHub;length;s_nom;s_nom_max;node0;node1;LineCountry;Type
BE_A-UK_H;69.94423111699726;0;5;BE_A;UK_H;BE-UK;CO2_pipeline_offshore_crossborder
BE_A-NL_D;155.86842334684536;0;5;BE_A;NL_D;BE-NL;CO2_pipeline_offshore_crossborder
DE_A-NL_F;198.88131951023107;0;5;DE_A;NL_F;DE-NL;CO2_pipeline_offshore_crossborder
DE_A-DK_C;232.58214121801802;0;5;DE_A;DK_C;DE-DK;CO2_pipeline_offshore_crossborder
DE_B-DK_C;182.44806268713697;0;5;DE_B;DK_C;DE-DK;CO2_pipeline_offshore_crossborder
DE_B-DK_ST1;206.58371355781767;0;5;DE_B;DK_ST1;DE-DK;CO2_pipeline_offshore_crossborder
DE_G-DK_C;140.42645904112595;0;5;DE_G;DK_C;DE-DK;CO2_pipeline_offshore_crossborder
DE_G-DK_ST1;182.67252406913036;0;5;DE_G;DK_ST1;DE-DK;CO2_pipeline_offshore_crossborder
DE_H-DK_ST1;134.92658695443507;0;5;DE_H;DK_ST1;DE-DK;CO2_pipeline_offshore_crossborder
DE_H-DK_C;157.41105745072895;0;5;DE_H;DK_C;DE-DK;CO2_pipeline_offshore_crossborder
DE_I-DK_ST1;89.76595155620544;0;5;DE_I;DK_ST1;DE-DK;CO2_pipeline_offshore_crossborder
DE_I-UK_C;147.23477094588932;0;5;DE_I;UK_C;DE-UK;CO2_pipeline_offshore_crossborder
DK_A-DK_C;63.65658447506351;0;5;DK_A;DK_C;DK-DK;CO2_pipeline_offshore
DK_A-DK_ST1;183.7991243645218;0;5;DK_A;DK_ST1;DK-DK;CO2_pipeline_offshore
NL_A-NL_F;35.40276412618469;0;5;NL_A;NL_F;NL-NL;CO2_pipeline_offshore
NL_A-NL_D;52.92690807075863;0;5;NL_A;NL_D;NL-NL;CO2_pipeline_offshore
NL_B-NL_F;51.29922888254779;0;5;NL_B;NL_F;NL-NL;CO2_pipeline_offshore
NL_B-NL_D;85.44444199328477;0;5;NL_B;NL_D;NL-NL;CO2_pipeline_offshore
NL_G-NL_F;146.48225575618227;0;5;NL_G;NL_F;NL-NL;CO2_pipeline_offshore
NL_G-NL_D;199.16647750058596;0;5;NL_G;NL_D;NL-NL;CO2_pipeline_offshore
NO_C-NO_ST2;541.1274335494566;0;5;NO_C;NO_ST2;NO-NO;CO2_pipeline_offshore
NO_C-NO_B;607.8227819477556;0;5;NO_C;NO_B;NO-NO;CO2_pipeline_offshore
UK_D-UK_E;208.29970884631342;0;5;UK_D;UK_E;UK-UK;CO2_pipeline_offshore
UK_D-UK_C;291.82477424298156;0;5;UK_D;UK_C;UK-UK;CO2_pipeline_offshore
UK_I-UK_E;188.62975328023828;0;5;UK_I;UK_E;UK-UK;CO2_pipeline_offshore
UK_I-UK_C;285.48865219706636;0;5;UK_I;UK_C;UK-UK;CO2_pipeline_offshore
UK_J-UK_E;85.041838278968;0;5;UK_J;UK_E;UK-UK;CO2_pipeline_offshore
UK_J-UK_C;441.4623777349452;0;5;UK_J;UK_C;UK-UK;CO2_pipeline_offshore
UK_K-UK_E;155.32579215375895;0;5;UK_K;UK_E;UK-UK;CO2_pipeline_offshore
UK_K-UK_C;618.7500528027332;0;5;UK_K;UK_C;UK-UK;CO2_pipeline_offshore
UK_L-UK_E;276.2896450917956;0;5;UK_L;UK_E;UK-UK;CO2_pipeline_offshore
UK_L-UK_C;622.1213145671645;0;5;UK_L;UK_C;UK-UK;CO2_pipeline_offshore
NO_C-NO_D;1033.2290856205768;0;5;NO_C;NO_D;NO-NO;CO2_pipeline_offshore_coverage
