LinePyHub,length,s_nom,s_nom_max,node0,node1,LineCountry,Type
BE1-NL_D,180.07182615259458,0,5,BE1,NL_D,BE-NL,CO2_pipeline_crossborder_fallback
BE1-NL_F,248.3400516639822,0,5,BE1,NL_F,BE-NL,CO2_pipeline_crossborder_fallback
BE2-NL_D,221.6052557100271,0,5,BE2,NL_D,BE-NL,CO2_pipeline_crossborder_fallback
BE2-NL_F,293.9006937946906,0,5,BE2,NL_F,BE-NL,CO2_pipeline_crossborder_fallback
DE1-NL_D,238.29401564985304,0,5,DE1,NL_D,DE-NL,CO2_pipeline_crossborder_fallback
DE1-NL_F,286.41605969318005,0,5,DE1,NL_F,DE-NL,CO2_pipeline_crossborder_fallback
DE2-NL_F,259.44198078512983,0,5,DE2,NL_F,DE-NL,CO2_pipeline_crossborder_fallback
DE2-NL_D,259.5551154592847,0,5,DE2,NL_D,DE-NL,CO2_pipeline_crossborder_fallback
DE3-NL_F,392.7681870397622,0,5,DE3,NL_F,DE-NL,CO2_pipeline_crossborder_fallback
DE3-NL_D,407.7932917342454,0,5,DE3,NL_D,DE-NL,CO2_pipeline_crossborder_fallback
DE4-NL_D,512.5447010654591,0,5,DE4,NL_D,DE-NL,CO2_pipeline_crossborder_fallback
DE4-NL_F,547.9109978040246,0,5,DE4,NL_F,DE-NL,CO2_pipeline_crossborder_fallback
DK1-DK_C,215.04715908573849,0,5,DK1,DK_C,DK-DK,CO2_pipeline_onshore
DK1-DK_ST1,335.98405584430907,0,5,DK1,DK_ST1,DK-DK,CO2_pipeline_onshore
NL1-NL_D,85.78507418988117,0,5,NL1,NL_D,NL-NL,CO2_pipeline_onshore
NL1-NL_F,158.938066540253,0,5,NL1,NL_F,NL-NL,CO2_pipeline_onshore
NL2-NL_D,67.13861382850867,0,5,NL2,NL_D,NL-NL,CO2_pipeline_onshore
NL2-NL_F,107.78595803866843,0,5,NL2,NL_F,NL-NL,CO2_pipeline_onshore
NL3-NL_F,148.37683909417623,0,5,NL3,NL_F,NL-NL,CO2_pipeline_onshore
NL3-NL_D,150.17964654375058,0,5,NL3,NL_D,NL-NL,CO2_pipeline_onshore
NL4-NL_D,142.0949417625742,0,5,NL4,NL_D,NL-NL,CO2_pipeline_onshore
NL4-NL_F,192.91652918112317,0,5,NL4,NL_F,NL-NL,CO2_pipeline_onshore
NO1-NO_B,195.96522917596565,0,5,NO1,NO_B,NO-NO,CO2_pipeline_onshore
NO1-NO_ST2,274.42178934785653,0,5,NO1,NO_ST2,NO-NO,CO2_pipeline_onshore
UK1-UK_H,104.9007896891752,0,5,UK1,UK_H,UK-UK,CO2_pipeline_onshore
UK1-UK_B,157.3484348213974,0,5,UK1,UK_B,UK-UK,CO2_pipeline_onshore
UK2-UK_B,194.44498849284975,0,5,UK2,UK_B,UK-UK,CO2_pipeline_onshore
UK2-UK_F,248.24442888871613,0,5,UK2,UK_F,UK-UK,CO2_pipeline_onshore
UK3-UK_E,220.33112863901053,0,5,UK3,UK_E,UK-UK,CO2_pipeline_onshore
UK3-UK_C,452.25376298367127,0,5,UK3,UK_C,UK-UK,CO2_pipeline_onshore
UK4-UK_B,310.54573629040857,0,5,UK4,UK_B,UK-UK,CO2_pipeline_onshore
UK4-UK_H,322.9403054021161,0,5,UK4,UK_H,UK-UK,CO2_pipeline_onshore
NO1-NO_A,288.97528926487826,0,5,NO1,NO_A,NO-NO,CO2_pipeline_onshore_coverage
NO1-NO_ST1,346.59751342420833,0,5,NO1,NO_ST1,NO-NO,CO2_pipeline_onshore_coverage
UK1-UK_G,170.31299329349002,0,5,UK1,UK_G,UK-UK,CO2_pipeline_onshore_coverage
