LinePyHub;length;s_nom;s_nom_max;node0;node1;LineCountry;Type
DE1-BE2;189.6097093;1.0;10;DE1;BE2;DE-BE;onshore
DE1-DE4;308.8830694;0.0;10;DE1;DE4;DE-DE;onshore
DE2-DE1;200.9962553;0.0;10;DE2;DE1;DE-DE;onshore
DE3-DE4;379.5583315;2.0;10;DE3;DE4;DE-DE;onshore
DE3-NO1;714.2865124;1.4;10;DE3;NO1;DE-NO;offshore
DK1-DE4;653.6121903;0.6;10;DK1;DE4;DK-DE;offshore
NL3-DK1;462.6276462;0.7;10;NL3;DK1;NL-DK;offshore
NL3-NO1;794.0765921;0.7;10;NL3;NO1;NL-NO;offshore
NO1-DK1;449.3646383;1.7;10;NO1;DK1;NO-DK;offshore
NO1-UK2;906.6999497;1.4;10;NO1;UK2;NO-GB;offshore
NO1-UK3;867.782167;0.0;10;NO1;UK3;NO-GB;offshore
UK1-BE1;224.2504975;1.0;10;UK1;BE1;GB-BE;offshore
UK1-DE2;540.0515793;1.4;10;UK1;DE2;GB-DE;offshore
UK1-NL1;271.6275305;1.0;10;UK1;NL1;GB-NL;offshore
UK2-DK1;858.3528603;1.4;10;UK2;DK1;GB-DK;offshore
UK3-UK4;597.5544226;2.2;10;UK3;UK4;GB-GB;offshore
BE_A-BE1;75.27570565;3.5;10;BE_A;BE1;BE-BE;offshore
BE_A-UK1;152.640618;0.0;10;BE_A;UK1;BE-GB;offshore
DE_A-DE2;180.2491219;2.7;10;DE_A;DE2;DE-DE;offshore
DE_A-DE3;250.6269946;0.98;10;DE_A;DE3;DE-DE;offshore
DE_A-DK1;334.5033926;0.0;10;DE_A;DK1;DE-DK;offshore
DE_A-NL3;151.9545793;0.0;10;DE_A;NL3;DE-NL;offshore
DE_B-DE1;406.520622;8.0;10;DE_B;DE1;DE-DE;offshore
DE_B-DE2;245.7801826;6.0;10;DE_B;DE2;DE-DE;offshore
DE_B-DK1;322.4776422;0.0;10;DE_B;DK1;DE-DK;offshore
DE_B-NL3;209.4846987;0.0;10;DE_B;NL3;DE-NL;offshore
DK_A-DE_B;232.9503254;0.0;10;DK_A;DE_B;DE-DK;offshore
DK_A-DK1;170.0533978;1.0;10;DK_A;DK1;DK-DK;offshore
NL_A-NL1;150.5294395;6.0;10;NL_A;NL1;NL-NL;offshore
NL_B-NL1;182.2336713;2.0;10;NL_B;NL1;NL-NL;offshore
NL_A-NL_B;38.09428446;0.0;10;NL_A;NL_B;NL-UK;offshore
NL_A-UK1;239.6351529;0.0;10;NL_A;UK1;NL-UK;offshore
NL_B-UK1;221.5127084;0.0;10;NL_B;UK1;NL-UK;offshore
NL_B-UK_B;150.1221496;0.0;10;NL_B;UK_B;NL-UK;offshore
UK_B-UK2;220.0372523;1.5;10;UK_B;UK2;UK-UK;offshore
UK_C-UK2;250.2590003;8.0;10;UK_C;UK2;UK-UK;offshore
UK_C-DE_B;308.8335634;0.0;10;UK_C;DE_B;UK-DE;offshore
UK_D-UK3;200.1964345;5.1;10;UK3;UK_D;UK-UK;offshore
UK_E-UK3;252.2352432;2.0;10;UK3;UK_E;UK-UK;offshore
UK_D-NO1;709.4647374;0.0;10;NO1;UK_D;UK-NO;offshore
UK_E-NO1;656.5504742;0.0;10;NO1;UK_E;UK-NO;offshore
NO_A-NO1;289.6322329;0.0;10;NO_A;NO1;NO-NO;offshore
NO_B-NO1;196.6514303;0.0;10;NO_B;NO1;NO-NO;offshore
NO_C-NO1;608.8383316;0.0;10;NO_C;NO1;NO-NO;offshore
NO_D-NO1;1569.069108;0.0;10;NO_D;NO1;NO-NO;offshore
DK_C-DK1;215.7562174;0.0;10;DK_C;DK1;DK-DK;offshore
UK_K-UK3;263.6615192;0.0;10;UK_K;UK3;UK-UK;offshore
UK_L-UK3;497.6588069;0.0;10;UK_L;UK3;UK-UK;offshore
UK_I-UK3;261.4652038;0.0;10;UK_I;UK3;UK-UK;offshore
UK_J-UK3;288.0822718;0.0;10;UK_J;UK3;UK-UK;offshore
UK_H-UK2;192.4497938;0.0;10;UK_H;UK2;UK-UK;offshore
NL_F-NL2;107.9637034;0.0;10;NL_F;NL2;NL-NL;offshore
NL_G-NL3;123.3937275;0.0;10;NL_G;NL3;NL-NL;offshore
DE_G-DE3;268.6814119;0.0;10;DE_G;DE3;DE-DE;offshore
DE_G-DE2;248.550387;0.0;10;DE_G;DE2;DE-DE;offshore
DE_G-DE1;405.4597097;0.0;10;DE_G;DE1;DE-DE;offshore
DE_H-DE3;348.888234;0.0;10;DE_H;DE3;DE-DE;offshore
DE_H-DE2;304.272108;0.0;10;DE_H;DE2;DE-DE;offshore
DE_H-DE1;438.1855523;0.0;10;DE_H;DE1;DE-DE;offshore
DE_I-DE3;461.112088;0.0;10;DE_I;DE3;DE-DE;offshore
DE_I-DE2;415.8059471;0.0;10;DE_I;DE2;DE-DE;offshore
DE_I-DE1;536.5802695;0.0;10;DE_I;DE1;DE-DE;offshore
DK_C-DE_G;140.5302815;0.0;10;DK_C;DE_G;DK-DE;offshore
DE_I-NO_A;176.6786919;0.0;10;DE_I;NO_A;DE-NO;offshore
DE_I-DE_H;114.1710971;0.0;10;DE_I;DE_H;DE-DE;offshore
UK_L-NO_B;253.0512847;0.0;10;UK_L;NO_B;UK-NO;offshore
UK_L-UK_J;225.4917888;0.0;10;UK_L;UK_J;UK-UK;offshore
NL_F-NL_G;146.8066123;0.0;10;NL_F;NL_G;NL-NL;offshore
NO_A-DK_C;155.2672357;0.0;10;NO_A;DK_C;NO-DK;offshore
NL_G-DE_G;119.7651422;0.0;10;NL_G;DE_G;NL-DE;offshore
NO_C-NO_B;609.2299634;0.0;10;NO_C;NO_B;NO-NO;offshore
UK_I-UK_J;159.4467649;0.0;10;UK_I;UK_J;UK-UK;offshore
DE_G-DE_H;84.33264545;0.0;10;DE_G;DE_H;DE-DE;offshore
