,UK_L,UK_K,UK_J,UK_I,UK_H,UK_G,UK_F,NO_D,NO_C,NO_B,NO_A,NL_G,NL_F,DK_C,DE_I,DE_H,DE_G
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015050914017166649,0.0854078030526303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019394253638454498,0.052195731744369596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01918273012915726,0.025217879070911116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019474623935843455,0.02237121540344008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02620361465767197,0.03424507959067437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03612561356992707,0.04944366955236164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05598077360316194,0.06116227872802509,0.9995977475027853,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08920360843280728,0.09889558720973388,0.8626747639081608,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.1117831361249119,0.20314368478617775,0.5042866930489326,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.0,1.0,0.0,0.23687625221693767,1.0,1.0,1.0,0.15571177323964452,0.31568302347726707,0.5733181549733799,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.22542463536307586,0.43154733761205955,0.8505828738999484,0.9844760919900686,1.0,1.0,1.0,1.0,1.0,1.0
11,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2974849997068896,0.30344574620161413,0.9930198859879946,0.8371288268912237,1.0,1.0,1.0,1.0,1.0,1.0
12,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.33318159581487766,0.19465185533127174,1.0,0.7056925854115897,1.0,1.0,1.0,1.0,1.0,1.0
13,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3951052120273669,0.1626200365530269,1.0,0.8077955118417584,1.0,1.0,1.0,1.0,1.0,1.0
14,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.41826703474138843,0.21896245752006271,1.0,0.9919184523734255,1.0,1.0,0.9851207513934944,0.0,1.0,1.0
15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41656549741807425,0.3922117071739475,1.0,1.0,1.0,1.0,0.9833753537864077,0.0,1.0,0.9476913281509586
16,0.5001823566634087,1.0,1.0,1.0,1.0,1.0,1.0,0.4612384165783259,0.6007248538475942,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7301032960119853
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5334015158017713,0.697056590639757,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8274914836618794
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5648914042797958,0.7557672296299267,1.0,1.0,1.0,0.8220744426136051,1.0,1.0,1.0,0.9697472826926833
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5750337870862371,0.7416054698555304,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6060457099841409,0.7188628422399138,1.0,1.0,1.0,0.3849947985473107,1.0,0.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6304804375352886,0.690331081755089,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6913912762983851,0.616880722420035,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6276953302332583,0.52669006181909,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5600666761146489,0.45113415830583325,1.0,1.0,1.0,1.0,1.0,0.3028744472301667,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49032126396016973,0.39509433024770924,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4256693302706266,0.302105315118533,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
27,1.0,0.9928032191731949,1.0,1.0,1.0,1.0,1.0,0.416432137427392,0.19398387977945486,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
28,1.0,0.9777315085065891,1.0,1.0,1.0,1.0,1.0,0.3846398150707877,0.12135736344613683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,0.9376165891494161,1.0,1.0,1.0,1.0,1.0,0.3247205921480431,0.07730962304112234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996747746355177
30,1.0,0.8217331167323575,1.0,1.0,1.0,1.0,1.0,0.2405843222263435,0.042523986822917206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,0.6871823581136127,1.0,1.0,1.0,1.0,1.0,0.1359709019790594,0.008809292170103601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1.0,0.544640636822401,1.0,1.0,1.0,1.0,1.0,0.05224712963463318,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,1.0,0.3998551351194698,1.0,1.0,1.0,1.0,1.0,0.01035450639818367,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,1.0,0.2093214004741977,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,0.9840967099356014,0.12131466869521697,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,0.8867919716196635,0.03923527189761007,1.0,1.0,1.0,1.0,1.0,0.0054534631757325236,0.022488202283210718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,0.7323926370560183,0.006412050965311083,0.9659511842443719,1.0,1.0,1.0,1.0,0.02117261812592011,0.09790599165029931,1.0,0.9922638393846901,1.0,1.0,1.0,1.0,0.9957474468472836,1.0
38,0.5363090078868319,0.0,0.8344676067642347,1.0,1.0,1.0,1.0,0.035131498329627954,0.1808737534243106,1.0,0.9882250721170731,1.0,1.0,1.0,1.0,0.9849294120461219,1.0
39,0.3704392005089686,0.0,0.6915216426585139,1.0,1.0,1.0,1.0,0.04342667331711892,0.1816098872258661,1.0,0.9783891676468648,1.0,1.0,1.0,1.0,0.9808733617063073,1.0
40,0.28454986543965805,0.0,0.5873743588016535,0.9959828404634555,1.0,1.0,1.0,0.056939312192207235,0.19018425754035848,0.9912888259411736,0.9584301187360655,1.0,1.0,1.0,1.0,0.9624482390126874,1.0
41,0.24212323630537705,0.0,0.5318903473979563,0.961255628517561,1.0,1.0,1.0,0.08625203824045541,0.36378320595913505,0.9645029614076626,0.8649251302001428,1.0,1.0,1.0,1.0,0.9165512589854932,1.0
42,0.17865146258632145,0.0,0.4035214504183777,0.799512817655971,1.0,1.0,1.0,0.11342133916694216,0.6777043648870996,0.887608269971386,0.7062002062245165,1.0,1.0,1.0,0.982899075769124,0.8674717517407152,1.0
43,0.10039670997097837,0.008032292903993382,0.23391999261927968,0.6500177174711889,1.0,1.0,1.0,0.12359599048811647,0.8719954192187978,0.7483807663822498,0.5167977433593774,1.0,1.0,1.0,0.8683637508912365,0.805412075156284,1.0
44,0.050244714074278884,0.05796624341047909,0.09986946171072365,0.4509406991142527,0.9933628192738158,0.9997148898170121,1.0,0.12552875872502806,0.9497795308795953,0.6819225741924604,0.286514684915801,1.0,0.9709670235264829,0.9965178721524907,0.6801039842350082,0.7489183977338506,1.0
45,0.020331472715649952,0.1379200132171572,0.018562488279998894,0.23289599494128368,0.9648832295307754,0.9748688115559719,0.992063404413127,0.11583890908924004,0.8881283338131675,0.6510816534333154,0.11910689400348598,0.9934841152630284,0.8723528780059073,0.9773190789875195,0.47521818486982825,0.6817966172632257,0.9983216703537605
46,0.0057323580309022164,0.29260027078589296,0.0,0.09984932070914025,0.7842938635942643,0.8431887592819054,0.91440749572346,0.06847413506363895,0.5840968474466169,0.3014576527161212,0.038250083166271355,0.9603773250349351,0.6585478746343905,0.8675351578284883,0.18417655864409885,0.49926109846251254,0.9673706952606268
47,0.01615503706945881,0.3793551185197912,0.0,0.04528534015952594,0.5220706373450422,0.6317571558329439,0.826060721291063,0.07377441876129659,0.5626519321829245,0.23841300690601863,0.016509694717268465,0.8903149089019335,0.48522920528472097,0.6979783033371656,0.10897626247914063,0.47620094199025126,0.914453279852381
48,0.021058755964200027,0.4141332677563013,0.0,0.011293038526348895,0.3390571230199295,0.42460195339226187,0.7224073393141438,0.11699801901293051,0.4805581854091553,0.23999747525729867,0.0,0.813950831045997,0.4275642272921652,0.46111636309599213,0.07237236121255547,0.4986421483282792,0.8415253642825234
49,0.019664362996070342,0.43317238221053117,0.0,0.0,0.24561016362689278,0.29076989614149507,0.6339365047775369,0.13007580559414894,0.4672606696866626,0.24516618769554516,0.0,0.7329352797476525,0.3987709841806746,0.21841240877406348,0.04307794727213426,0.4325198391458435,0.7441482977850378
50,0.010907721872056124,0.48848469376703196,0.004898320690961379,0.0,0.20221728019996552,0.2195668400323588,0.5425040208475662,0.1325462132427344,0.44745255683887475,0.24834706812758928,0.0,0.7212742643311266,0.4276941376081957,0.10214935349092515,0.017423197645494205,0.304775674266473,0.6267087715660054
51,0.02378708477687766,0.4857018021547784,0.060251531393809725,0.0,0.1321551757976555,0.1569187544502366,0.42213744324057295,0.163880660468231,0.4081130139620249,0.18312559206414578,0.0,0.6247575978064372,0.3781249710787956,0.03743790423934305,0.0,0.18817146685673847,0.4575723770397955
52,0.048277979087961595,0.42935454958850355,0.1314414538529358,0.0,0.07702301538676255,0.11359768041688945,0.3136692892916905,0.1578161347966695,0.4467269801267294,0.08401462927978094,0.0,0.5325615788939774,0.3480584957800539,0.009227391164043404,0.0,0.12902558387895424,0.33209765429550164
53,0.07134471083731292,0.4251813627981529,0.2564645454547299,0.0,0.04804751358779329,0.0751632186270899,0.21232470476690735,0.1884511687902597,0.5391556700213771,0.032340887171498744,0.0,0.43000930964517065,0.34060060627418737,0.0,0.0,0.09750745267896176,0.24326340190439288
54,0.14476864386900196,0.4509553148092716,0.45851687802024765,0.0,0.04013058135887588,0.06078267546163312,0.13770513157938608,0.20384866262467022,0.6378746283646903,0.0,0.0,0.33802977666886624,0.30234214546227134,0.0,0.0,0.06258591104568623,0.1538852518074406
55,0.26249473828119796,0.4891074742641646,0.7063018820513763,0.04092287489434685,0.037338964987627996,0.059060208153857645,0.08542076268905162,0.16089866742883824,0.8046688774947727,0.0,0.0,0.22097624756725068,0.2645275589705621,0.0,0.0,0.029921629324901968,0.07769321672964272
56,0.4198292666657266,0.5342705423459856,0.891453678794251,0.16561350931576518,0.031317152004381954,0.04378413314069877,0.05061336528623599,0.1734518582461609,0.869750139497506,0.0,0.0,0.13407949470487288,0.222623747824372,0.0,0.0,0.012980712806907694,0.036116162835990374
57,0.6263484173732727,0.5881045130482317,0.9780409700315037,0.3765616867373166,0.03413006359590711,0.027889030663797856,0.021632595798801328,0.2618640700981678,0.7607322416385929,0.0,0.0,0.07700004178581785,0.16725264101269952,0.0,0.007718318398710755,0.011771680135838262,0.014779268449227462
58,0.9070278467279882,0.6323935617195912,0.9903584863921673,0.2833625209203703,0.053045835987088556,0.025844323719924317,0.007993823961369799,0.4663683937545209,0.9236240540315329,0.0,0.0,0.025462941615753854,0.12957713210085545,0.0051567190518541405,0.028099805137906258,0.018581257150517,0.004812398595806748
59,0.9919643638887219,0.6921823824502353,1.0,0.30145969720619475,0.11308325997673778,0.03630056000272625,0.0,0.5006204739551451,0.962281853435732,0.0,0.0,0.020669178625129198,0.13968623018579077,0.03067188977074307,0.04010668064732267,0.028260493643442276,0.011856150428539883
