,UK_G,DE_F,UK_F,NL_E,DK_B,DE_C,UK_H,NL_D,NL_C,DE_E,DE_D,BE_B,UK_B,UK_C,UK_D,UK_E,DE_A,DK_A,DE_B,NL_B,BE_A,NL_A,NL4,DE2,BE2,DE3,DK1,NL2,NL3,DE1,NO1,UK4,DE4,NL1,UK1,UK2,BE1,UK3,UK_L,UK_K,UK_J,UK_I,UK_O,UK_N,UK_M,NO_D,NO_C,NO_B,NO_A,NL_G,NL_F,DK_C,DE_I,DE_H,DE_G
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3656.667523012414,3891.464815596868,8064.939960178589,5789.882011368089,1326.19581554387,4026.0792239386906,303.67430679261304,11008.555181539525,1144.5415340968273,8851.68834856156,20218.817968707615,7046.721466884561,1304.9747743914593,5025.887989306356,158.02752120844076,2013.3774179567565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3660.7555021026974,3915.9376587780826,8067.750221167274,5826.293717811903,1326.232352629962,4030.5801876111345,304.0138001177819,11077.786347019879,1144.9505642651627,9152.393281320754,20345.971106383306,7054.599363857798,1349.30669575306,5196.624830727711,158.08258653814977,2081.7748238803338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3674.545282692043,3990.258746370711,8084.881645920306,5936.871700270642,1326.2688897160538,4045.763068959806,305.1589964023602,11288.033087690972,1146.326029012571,9285.822626600193,20732.119925010422,7081.173489695336,1368.977737355144,5272.38449571523,158.41826623345537,2112.1242465102027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700.5715862988245,4141.51315784719,8123.22228354563,6161.914258188107,1326.3054268021453,4074.4186575709523,307.3203959981463,11715.91631780948,1149.009292982798,9788.90406733263,21517.989914210848,7131.328476763582,1443.145349653314,5558.028417084307,159.1695273656395,2226.5535816017887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3778.3124689965275,4595.394403482002,8238.660648246929,6837.217513883938,1326.3419638882372,4160.013246280519,313.7765226528394,12999.899849771688,1158.2979174465295,11080.580719582422,23876.21303063725,7281.142027903489,1633.5729134672056,6291.427732217743,161.43147087869428,2520.3543233963555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3838.8959749706823,4970.551945462637,8322.877011361581,7395.392393183107,1326.378500974329,4226.717148995462,318.80778515181856,14061.1820913872,1167.9352236178513,14395.598048651507,25825.412730578726,7397.891797851265,2122.2948183463695,8173.656875680326,163.08163853944694,3274.3778235083582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3827.5401808715524,4871.458260501977,8311.776790190925,7247.956717626085,1326.4150380604212,4214.21414553504,317.8647235036291,13780.856211358858,1165.610099304106,16664.811412004292,25310.553346513923,7376.008179078635,2456.8373463115126,9462.090419536577,162.86413655615564,3790.5260160780444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3826.8443564902186,4851.316895315796,8304.257643817547,7217.989562967903,1326.451575146513,4213.448026092251,317.80693755909874,13723.878353253875,1164.0199096266697,16284.572961651647,25205.90519584622,7374.66726400384,2400.780064759735,9246.19535122338,162.71680352344174,3704.0381643561414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3810.091461265315,4761.344918828391,8280.137241674565,7084.125541866184,1326.4881122326046,4195.00268399283,316.415664272103,13469.35685174009,1162.4740321090007,15590.311797634204,24738.439318320437,7342.382954404769,2298.4274660004667,8852.001756930813,162.2441791294566,3546.1236858121424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3791.9526277935306,4672.473579478939,8258.595410150354,6951.899094138002,1326.5246493186967,4175.031390423576,314.9092933357503,13217.948939900676,1160.7594438949016,15105.09611324937,24276.692002569314,7307.427819324682,2226.893742339241,8576.501808859426,161.82208023537063,3435.7580399252065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
