"LinePyHub","length","s_nom","s_nom_max","node0","node1","LineCountry","Type"
"","180.07","0","5","BE1","NL_D","","offshore"
"","180.07","0","5","NL_D","BE1","","offshore"
"","195.7697549","0","5","BE_A","BE2","","offshore"
"","195.7697549","0","5","BE2","BE_A","","offshore"
"","269.4739926","0","5","DE_B","DE3","","offshore"
"","269.4739926","0","5","DE3","DE_B","","offshore"
"","223.4365296","0","5","DE_B","DE2","","offshore"
"","223.4365296","0","5","DE2","DE_B","","offshore"
"","154.593998","0","5","DK_A","DK1","","offshore"
"","154.593998","0","5","DK1","DK_A","","offshore"
"","335.8134138","0","5","DK_ST1","DK1","","offshore"
"","335.8134138","0","5","DK1","DK_ST1","","offshore"
"","85.79","0","5","NL1","NL_D","","offshore"
"","85.79","0","5","NL_D","NL1","","offshore"
"","67.14","0","5","NL2","NL_D","","offshore"
"","67.14","0","5","NL_D","NL2","","offshore"
"","148.38","0","5","NL3","NL_F","","offshore"
"","148.38","0","5","NL_F","NL3","","offshore"
"","142.09","0","5","NL4","NL_D","","offshore"
"","142.09","0","5","NL_D","NL4","","offshore"
"","107.7834359","0","5","NL_A","NL2","","offshore"
"","107.7834359","0","5","NL2","NL_A","","offshore"
"","136.844945","0","5","NL_A","NL1","","offshore"
"","136.844945","0","5","NL1","NL_A","","offshore"
"","142.3220449","0","5","NL_B","NL2","","offshore"
"","142.3220449","0","5","NL2","NL_B","","offshore"
"","165.6669739","0","5","NL_B","NL1","","offshore"
"","165.6669739","0","5","NL1","NL_B","","offshore"
"","534.222004","0","5","NO1","DE_B","","offshore"
"","534.222004","0","5","DE_B","NO1","","offshore"
"","99.2574616","0","5","NO_A","DK_ST1","","offshore"
"","99.2574616","0","5","DK_ST1","NO_A","","offshore"
"","346.1208126","0","5","NO_ST1","NO1","","offshore"
"","346.1208126","0","5","NO1","NO_ST1","","offshore"
"","212.0644437","0","5","NO_ST1","NO_A","","offshore"
"","212.0644437","0","5","NO_A","NO_ST1","","offshore"
"","236.3264119","0","5","NO_ST2","NO1","","offshore"
"","236.3264119","0","5","NO1","NO_ST2","","offshore"
"","272.3596419","0","5","NO_ST2","NO_ST1","","offshore"
"","272.3596419","0","5","NO_ST1","NO_ST2","","offshore"
"","130.81","0","5","UK1","UK_G","","offshore"
"","130.81","0","5","UK_G","UK1","","offshore"
"","191.81","0","5","UK2","UK_H","","offshore"
"","191.81","0","5","UK_H","UK2","","offshore"
"","157.5301735","0","5","UK_B","UK1","","offshore"
"","157.5301735","0","5","UK1","UK_B","","offshore"
"","195.0539312","0","5","UK_B","UK2","","offshore"
"","195.0539312","0","5","UK2","UK_B","","offshore"
"","128.6890691","0","5","UK_B","UK_G","","offshore"
"","128.6890691","0","5","UK_G","UK_B","","offshore"
"","77.564887","0","5","UK_B","UK_F","","offshore"
"","77.564887","0","5","UK_F","UK_B","","offshore"
"","256.7334302","0","5","UK_C","UK2","","offshore"
"","256.7334302","0","5","UK2","UK_C","","offshore"
"","175.9743543","0","5","UK_D","UK3","","offshore"
"","175.9743543","0","5","UK3","UK_D","","offshore"
"","291.8247742","0","5","UK_D","UK_C","","offshore"
"","291.8247742","0","5","UK_C","UK_D","","offshore"
"","220.7530783","0","5","UK_E","UK3","","offshore"
"","220.7530783","0","5","UK3","UK_E","","offshore"
"","208.2997088","0","5","UK_E","UK_D","","offshore"
"","208.2997088","0","5","UK_D","UK_E","","offshore"
"","119.5698307","0","5","UK_F","UK_G","","offshore"
"","119.5698307","0","5","UK_G","UK_F","","offshore"
