"LinePyHub";"length";"s_nom";"s_nom_max";"node0";"node1";"LineCountry";"Source";"Type"
"";"108.069952";"0";"5";"NL4";"NL1";"";"";"onshore, new"
"";"134.7550129";"0";"5";"BE1";"BE2";"";"";"onshore, new"
"";"172.372463";"0";"5";"DE1";"BE2";"";"";"onshore, new"
"";"85.13";"0";"5";"NL2";"NL4";"";"";"onshore, new"
"";"85.13";"0";"5";"NL4";"NL2";"";"";"onshore, new"
"";"96.22";"0";"5";"DE1";"NL4";"";"";"onshore, new"
"";"96.22";"0";"5";"NL2";"DE1";"";"";"onshore, new"
"";"117.26";"0";"5";"BE1";"NL1";"";"";"onshore, new"
"";"117.26";"0";"5";"NL1";"BE1";"";"";"onshore, new"
"";"125.87";"0";"5";"DE2";"NL3";"";"";"onshore, new"
"";"125.87";"0";"5";"NL3";"DE2";"";"";"onshore, new"
"";"191.48";"0";"5";"DE3";"DE2";"";"";"onshore, new"
"";"191.48";"0";"5";"DE2";"DE3";"";"";"onshore, new"
"";"203.43";"0";"5";"UK1";"BE1";"";"";"onshore, new"
"";"203.43";"0";"5";"BE1";"UK1";"";"";"onshore, new"
"";"94.22";"0";"5";"NL3";"NL2";"";"";"onshore, new"
"";"94.22";"0";"5";"NL2";"NL3";"";"";"onshore, new"
"";"92.20";"0";"5";"NL1";"NL2";"";"";"onshore, new"
"";"92.20";"0";"5";"NL2";"NL1";"";"";"onshore, new"
"";"218.71";"0";"5";"UK4";"UK1";"";"";"onshore, new"
"";"218.71";"0";"5";"UK1";"UK4";"";"";"onshore, new"
"";"253.77";"0";"5";"UK2";"UK4";"";"";"onshore, new"
"";"253.77";"0";"5";"UK4";"UK2";"";"";"onshore, new"
"";"253.90";"0";"5";"DK1";"DE3";"";"";"onshore, new"
"";"253.90";"0";"5";"DE3";"DK1";"";"";"onshore, new"
"";"280.05";"0";"5";"DE4";"DE1";"";"";"onshore, new"
"";"280.05";"0";"5";"DE1";"DE4";"";"";"onshore, new"
"";"332.35";"0";"5";"UK3";"UK2";"";"";"onshore, new"
"";"332.35";"0";"5";"UK2";"UK3";"";"";"onshore, new"
"";"407.69";"0";"5";"NO1";"DK1";"";"";"onshore, new"
"";"407.69";"0";"5";"DK1";"NO1";"";"";"onshore, new"
