Node,BE1,BE1,BE1,BE1,BE1,BE2,BE2,BE2,BE2,BE2,DE1,DE1,DE1,DE1,DE1,DE2,DE2,DE2,DE2,DE2,DE3,DE3,DE3,DE3,DE3,DE4,DE4,DE4,DE4,DE4,DK1,DK1,DK1,DK1,DK1,NL1,NL1,NL1,NL1,NL1,NL2,NL2,NL2,NL2,NL2,NL3,NL3,NL3,NL3,NL3,NL4,NL4,NL4,NL4,NL4,NO1,NO1,NO1,NO1,NO1,UK1,UK1,UK1,UK1,UK1,UK2,UK2,UK2,UK2,UK2,UK3,UK3,UK3,UK3,UK3,UK4,UK4,UK4,UK4,UK4,DE_A,DE_B,NL_A,NL_C,NL_D,NL_E,NL_B,DK_B,DK_A,BE_B,DE_D,DE_F,DE_E,DE_C,UK_F,UK_G,UK_D,UK_E,UK_H,UK_B,UK_C,BE_A,BE1,BE2,BE_A,BE_B,DE1,DE2,DE3,DE4,DE_A,DE_B,DE_C,DE_D,DE_E,DE_F,DK1,DK_A,DK_B,NL1,NL2,NL3,NL4,NL_A,NL_B,NL_C,NL_D,NL_E,NO1,UK1,UK2,UK3,UK4,UK_B,UK_C,UK_D,UK_E,UK_F,UK_G,UK_H
,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Biomass,PV,Run of River,Wind offshore,Wind onshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,Wind offshore,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total
0,0.0,0.0,0,0,0.0,478.908,0.0,59.37593085096079,0,40.828335603564646,316.29997294422657,0.0,8.66643701415591,0,29.90387066383773,364.2434072325999,0.0,0,10.370977691459654,9.663072,577.3549732766071,0.0,0,0,1757.5959772785366,2754.4136465465667,0.0,1260.6942118249544,3148.2168246230954,4868.532487034108,1187.45387,0.0,0,3533.7787974666307,2039.757126993764,46.11116185604677,0.0,0,0,0.0,46.11116185604677,0.0,0,0.0,37.57818344361538,524.1665144318598,0.0,0,0,57.58049716082406,46.11116185604677,0.0,0,0,16.914801257684545,0.00159,0.0,0,0,2973.0888240770646,248.42140068147395,0.0,0,38.73286824210484,84.81044573782609,2177.0169906612828,0.0,0,3060.1025728808836,568.3855082410632,243.78296428571434,0.0,288.0398449502331,26.877916473653155,1505.901223930886,743.7401443715296,0.0,112.37329688608175,2305.993576921308,992.9544300447455,39.34998564077419,0.0,0.0,0.0,0.0,0.0,0.0,161.5062779248231,380.56716253903073,0.0,28.343017313317453,112.44186069488526,180.71197174928187,0.0,403.936613109588,33.665226698006975,1724.4996598614243,538.3588169438372,14.648426398417499,119.76561111167189,1562.7414867082446,0.0,0.0,579.1122664545254,0.0,0.0,354.8702806222202,384.27745692405955,2334.9509505551437,12031.857170028725,39.34998564077419,0.0,0.0,28.343017313317453,180.71197174928187,112.44186069488526,6760.9897944603945,380.56716253903073,161.5062779248231,46.11116185604677,83.68934529966215,581.7470115926839,63.025963113731315,0.0,0.0,0.0,0.0,0.0,2973.0904140770645,371.96471466140486,5805.505071783229,2064.601949640487,4155.061448223665,119.76561111167189,1562.7414867082446,1724.4996598614243,538.3588169438372,403.936613109588,33.665226698006975,14.648426398417499
1,0.0,0.0,0,0,0.0,478.908,0.0,59.37593085096079,0,24.67435562620807,316.29997294422657,0.0,8.66643701415591,0,37.056609033836935,364.2434072325999,0.0,0,9.823142436218262,5.03285,577.3549732766071,0.0,0,0,1682.9723359088202,2754.4136465465667,0.0,1260.6942118249544,3187.42571800313,4373.347584191888,1187.45387,0.0,0,3565.9537642398477,2087.5055500108883,46.11116185604677,0.0,0,0,0.0,46.11116185604677,0.0,0,0.0,29.33788770003285,524.1665144318598,0.0,0,0,41.95995635646909,46.11116185604677,0.0,0,0,12.061096062696514,0.00159,-0.0,0,0,3116.884225387443,248.42140068147395,0.0,0,34.53802144571145,58.85631953024786,2177.0169906612828,0.0,0,3000.1014661631575,569.805345676117,243.78296428571434,0.0,288.0398449502331,41.84272929656318,1420.8937364695405,743.7401443715296,0.0,112.37329688608175,2325.7068326619733,944.7310627751268,42.64070738609865,50.22609906960256,0.0,0.0,0.4818402453422545,0.0,0.0,218.2990330360631,492.62531273419927,0.0,32.09855230944912,143.05569034957884,205.40737973184585,0.0,464.7564199753081,60.414734739838465,2271.554857918421,796.9786996693269,29.673636377297257,111.69992403526214,1708.7514137630565,0.0,0.0,562.9582864771689,0.0,0.0,362.0230189922194,379.0993996688182,2260.327309185427,11575.88116056654,42.64070738609865,50.22609906960256,0.0,32.09855230944912,205.40737973184585,143.05569034957884,6840.913184250736,492.62531273419927,218.2990330360631,46.11116185604677,75.44904955607961,566.1264707883289,58.172257918743284,0.0,0.0,0.0,0.4818402453422545,0.0,3116.885815387443,341.81574165743325,5746.923802500558,1994.5592750020512,4126.551336694712,111.69992403526214,1708.7514137630565,2271.554857918421,796.9786996693269,464.7564199753081,60.414734739838465,29.673636377297257
2,0.0,0.0,0,0,0.0,478.908,0.0,59.37593085096079,0,4.576306792312605,316.29997294422657,0.0,8.66643701415591,0,20.110155794131682,364.2434072325999,0.0,0,7.315470854187012,4.227594,577.3549732766071,0.0,0,0,1729.8502009060796,2754.4136465465667,0.0,1260.6942118249544,3176.4334155518727,3952.6450875665823,1187.45387,0.0,0,3546.445816967427,2045.7282599964547,46.11116185604677,0.0,0,0,0.0,46.11116185604677,0.0,0,0.0,35.23916847341499,524.1665144318598,0.0,0,0,47.50330677178657,46.11116185604677,0.0,0,0,8.57596348960533,0.00159,-0.0,0,0,3255.9275037098514,248.42140068147395,0.0,0,34.452292130430536,45.2503474624849,2177.0169906612828,0.0,0,2995.5285941394823,515.8409619724783,243.78296428571434,0.0,288.0398449502331,72.565750640839,1254.7691004939475,743.7401443715296,0.0,112.37329688608175,2231.409327145584,825.3280600903838,65.33216995167588,372.25324293886183,0.0,0.0,10.497365888881681,0.0,0.0,310.49503007894424,639.3141365521351,0.0,40.1710536170729,184.22049997711179,183.98585778720377,26.97865575344969,511.75266415810154,95.68156400528841,2345.0782276344307,1022.8801576991926,58.26608561594791,142.5222983343173,1928.651937490384,0.0,0.0,542.8602376432734,0.0,0.0,345.07656575251417,375.78647208678694,2307.2051741826867,11144.186361489978,65.33216995167588,372.25324293886183,26.97865575344969,40.1710536170729,183.98585778720377,184.22049997711179,6779.627946963882,639.3141365521351,310.49503007894424,46.11116185604677,81.35033032946177,571.6698212036464,54.6871253456521,0.0,0.0,0.0,10.497365888881681,0.0,3255.9290937098513,328.1240402743894,5688.386546773243,1859.157660370734,3912.850828493579,142.5222983343173,1928.651937490384,2345.0782276344307,1022.8801576991926,511.75266415810154,95.68156400528841,58.26608561594791
3,0.0,0.0,0,0,0.0,478.908,0.0,59.37593085096079,0,0.0,316.29997294422657,0.0,8.66643701415591,0,18.001020757847392,364.2434072325999,0.0,0,7.914950759124756,6.442048,577.3549732766071,0.0,0,0,1561.865746707903,2754.4136465465667,0.0,1260.6942118249544,3047.8382427940796,3824.9667019273256,1187.45387,0.0,0,3060.9444733874657,1833.2276191282867,46.11116185604677,0.0,0,0,18.61428213430945,46.11116185604677,0.0,0,5.96011246175766,61.2152705898916,524.1665144318598,0.0,0,0,89.27935008681777,46.11116185604677,0.0,0,0,14.132470552348773,0.00159,0.0,0,0,3318.1025763200814,248.42140068147395,0.0,0,28.080732364376384,15.521562148281138,2177.0169906612828,0.0,0,3056.2679237431016,436.4688908906869,243.78296428571434,0.0,288.0398449502331,106.64884235167591,1140.9183602681915,743.7401443715296,0.0,112.37329688608175,2126.6025395871693,681.77629531886,135.0036571854661,857.1962469300099,96.45088313619425,0.0,52.998783825536606,0.0,24.833922732492518,414.656631990133,708.8314349617962,0.0,92.85674086968106,225.19172608566282,194.72431993696688,73.21333583851315,635.6384664644098,102.83439924351575,2555.6622595527842,1512.7602760581128,92.5389839500774,225.82947920301078,2300.7311559401664,0.0,0.0,538.2839308509608,0.0,0.0,342.9674307162299,378.60040599172464,2139.22071998451,10887.912803092926,135.0036571854661,857.1962469300099,73.21333583851315,92.85674086968106,194.72431993696688,225.19172608566282,6081.625962515753,708.8314349617962,414.656631990133,64.72544399035621,113.28654490769603,613.4458645186776,60.24363240839554,96.45088313619425,24.833922732492518,0.0,52.998783825536606,0.0,3318.1041663200813,292.02369519413145,5669.753805295071,1779.390011855815,3664.4922761636403,225.82947920301078,2300.7311559401664,2555.6622595527842,1512.7602760581128,635.6384664644098,102.83439924351575,92.5389839500774
4,0.0,0.0,0,0,0.0,478.908,0.0,59.37593085096079,0,0.0,316.29997294422657,0.0,8.66643701415591,0,26.510933852415494,364.2434072325999,0.0,0,11.142726084709166,15.702492,577.3549732766071,0.0,0,0,1187.9469016560436,2754.4136465465667,0.0,1260.6942118249544,2983.278319190053,3574.9334617854524,1187.45387,0.0,0,2670.8750635883966,1564.20410236477,46.11116185604677,0.0,0,0,46.97890252944765,46.11116185604677,0.0,0,11.53443889789581,63.45549476746915,524.1665144318598,0.0,0,0,77.24310230419071,46.11116185604677,0.0,0,0,24.18649082547281,0.00159,0.0,0,0,3330.2035761239686,248.42140068147395,0.0,0,28.909880328774452,6.622191539021179,2177.0169906612828,0.0,0,2999.0718093489913,357.06477366568083,243.78296428571434,0.0,288.0398449502331,138.33345256428967,1057.2059313190102,743.7401443715296,0.0,112.37329688608175,1995.0301447013717,552.484578487915,254.21389939529456,1786.8889699846043,240.23682257236578,0.0,160.82886367359805,0.0,63.713927080962655,389.04389640645513,620.0749270908884,0.0,192.18006963821193,243.06955250167846,221.48172993481154,172.13056076792648,859.5909896338076,146.6113331720875,3149.999083844483,2251.126361178041,126.64570900339248,324.6747951017137,2740.3152843969447,78.90933920860009,0.0,538.2839308509608,78.90933920860009,0.0,351.477343810798,391.0886253173091,1765.3018749326507,10573.319639347026,254.21389939529456,1786.8889699846043,172.13056076792648,192.18006963821193,221.48172993481154,243.06955250167846,5422.533035953166,620.0749270908884,389.04389640645513,93.09006438549443,121.10109552141174,601.4096167360506,70.29765268151958,240.23682257236578,63.713927080962655,0.0,160.82886367359805,0.0,3330.2051661239684,283.9534725492696,5533.153573675955,1727.3621931192474,3403.6281644468977,324.6747951017137,2740.3152843969447,3149.999083844483,2251.126361178041,859.5909896338076,146.6113331720875,126.64570900339248
5,0.0,0.0,0,0,0.0,478.908,0.0,59.37593085096079,0,0.0,316.29997294422657,0.0,8.66643701415591,0,59.193411506118984,364.2434072325999,0.0,0,14.747904740667343,19.326144,577.3549732766071,0.0,0,0,966.0012355060251,2754.4136465465667,0.0,1260.6942118249544,2959.0342201861145,3206.884991989632,1187.45387,0.0,0,2487.6228972880517,1434.8631297335949,46.11116185604677,0.0,0,0,67.36597343845324,46.11116185604677,0.0,0,19.379707905006413,84.75066830916514,524.1665144318598,0.0,0,0,97.64135961330892,46.11116185604677,0.0,0,0,35.98577127035525,0.00159,0.0,0,0,3355.286211461199,248.42140068147395,0.0,0,41.52550183987617,3.476358754581252,2177.0169906612828,0.0,0,2868.6711460482256,307.4970160501631,243.78296428571434,0.0,288.0398449502331,169.27788107509255,987.3345449093229,743.7401443715296,0.0,112.37329688608175,1874.8300065932976,450.7541842160172,538.7072500241866,3529.7136177251346,669.6982616763537,12.297590943384169,409.0343500640206,32.796141592661535,185.7334137086067,342.9764315632168,562.8248244484747,34.647554820199815,416.05030217863276,230.31618823623657,226.52156421186922,430.5106094785731,1112.522010612408,439.7903087749586,4054.7497336682363,2964.472031387933,269.2122156202998,314.53062102697646,3480.947095159611,234.63647756841246,0.0,538.2839308509608,234.63647756841246,34.647554820199815,384.1598214645015,398.3174559732673,1543.3562087826322,10181.027070547269,538.7072500241866,3529.7136177251346,430.5106094785731,416.05030217863276,226.52156421186922,230.31618823623657,5109.939897021647,562.8248244484747,342.9764315632168,113.47713529450002,150.24153807021833,621.8078740451688,82.09693312640202,669.6982616763537,185.7334137086067,12.297590943384169,409.0343500640206,32.796141592661535,3355.287801461199,293.4232612759314,5353.185152759672,1688.4352352203628,3181.6976320669264,314.53062102697646,3480.947095159611,4054.7497336682363,2964.472031387933,1112.522010612408,439.7903087749586,269.2122156202998
6,0.0,0.0,0,0,5.390317794859468,478.908,0.0,59.37593085096079,0,0.0,316.29997294422657,0.0,8.66643701415591,0,86.52967861968081,364.2434072325999,0.0,0,17.33696931374073,13.08541,577.3549732766071,0.0,0,0,769.4593580738037,2754.4136465465667,0.0,1260.6942118249544,2906.317858635145,3000.121827615276,1187.45387,0.0,0,2400.8391070557273,1395.3088842783243,46.11116185604677,0.0,0,0,106.15978520812801,46.11116185604677,0.0,0,31.01720046501159,126.15552588108312,524.1665144318598,0.0,0,0,154.8540306912572,46.11116185604677,0.0,0,0,62.77839429349101,0.00159,0.0,0,0,3382.622636814222,248.42140068147395,0.0,0,74.3824460253318,2.717299064501658,2177.0169906612828,0.0,0,2640.612250289955,308.65482322861754,243.78296428571434,0.0,288.0398449502331,201.15441977588154,977.8016842997505,743.7401443715296,0.0,112.37329688608175,1753.8461120307047,376.83555858059856,915.0764909984798,4674.784853866821,1300.994804693378,46.50523765716553,810.4507293945846,71.5045267343521,355.8773394016911,296.16623752379417,495.1695716864039,75.65502271133361,727.5043539723808,210.98030584716795,183.13769929912087,742.8046491644722,1570.801109659567,732.7680124867989,5449.759539363609,3763.2245619586165,421.16541115332654,359.07279809907226,4475.86167418268,309.0770341436273,5.390317794859468,538.2839308509608,309.0770341436273,75.65502271133361,411.4960885780633,394.66578654634066,1346.8143313504108,9921.547544621943,915.0764909984798,4674.784853866821,742.8046491644722,727.5043539723808,183.13769929912087,210.98030584716795,4983.601861334052,495.1695716864039,296.16623752379417,152.27094706417478,203.2838882021415,679.020545123117,108.88955614953778,1300.994804693378,355.8773394016911,46.50523765716553,810.4507293945846,71.5045267343521,3382.624226814222,325.52114577130743,5126.284064179856,1710.7789133115793,2986.7951118689143,359.07279809907226,4475.86167418268,5449.759539363609,3763.2245619586165,1570.801109659567,732.7680124867989,421.16541115332654
7,0.0,0.0,0,0,17.069339683721644,478.908,0.0,59.37593085096079,0,16.019775420438528,316.29997294422657,0.0,8.66643701415591,0,110.17951712409663,364.2434072325999,0.0,0,23.89343563914299,113.98265102716913,577.3549732766071,0.0,0,0,663.7245518010818,2754.4136465465667,0.0,1260.6942118249544,2811.649402717226,3188.2439396084383,1187.45387,0.0,0,2511.236598744653,1441.0773443282653,46.11116185604677,0.0,0,0,152.11835726688253,46.11116185604677,0.0,0,39.55555634765625,158.52686273405604,524.1665144318598,0.0,0,0,206.92115918156645,46.11116185604677,0.0,0,0,96.34558074053217,0.00159,-0.0,0,0,3420.764385934179,248.42140068147395,0.0,0,110.04758826275665,17.482708018997652,2177.0169906612828,0.0,0,2372.0469573578916,338.2792373833665,243.78296428571434,0.0,288.0398449502331,219.96951569259164,1022.0610603655946,743.7401443715296,0.0,112.37329688608175,1467.915123959243,415.3530539743794,1262.4841687816318,5235.215251669395,1873.45642366963,55.885681851911535,1063.1323148015565,132.34568543434142,552.0702473202924,290.1789837887486,472.9008861531754,90.61897182489864,1052.0952238853201,212.6650572662353,165.69432860102648,1042.423736682888,2288.96560419906,1040.0748169210815,5859.044578223661,4016.7752855168346,507.5510531695058,447.5931440532834,5643.730300747654,290.9514285966083,17.069339683721644,554.3037062713994,290.9514285966083,90.61897182489864,435.14592708247915,502.119493898912,1241.079525077689,10015.001200697185,1262.4841687816318,5235.215251669395,1042.423736682888,1052.0952238853201,165.69432860102648,212.6650572662353,5139.767813072918,472.9008861531754,290.1789837887486,198.2295191229293,244.19358093775907,731.0876736134262,142.45674259657895,1873.45642366963,552.0702473202924,55.885681851911535,1063.1323148015565,132.34568543434142,3420.7659759341786,375.95169696322824,4887.343185402541,1773.8533852941337,2739.3816191912333,447.5931440532834,5643.730300747654,5859.044578223661,4016.7752855168346,2288.96560419906,1040.0748169210815,507.5510531695058
8,0.0,0.0,0,0,17.069339683721644,478.908,0.0,59.37593085096079,0,55.123216737070194,316.29997294422657,0.0,8.66643701415591,0,118.61605726923378,364.2434072325999,0.0,0,32.03904272239208,346.8167114887525,577.3549732766071,0.0,0,0,634.5181050708368,2754.4136465465667,0.0,1260.6942118249544,2656.6584368287868,3371.6467591372802,1187.45387,0.0,0,2710.7790696699126,1429.1302316897318,46.11116185604677,0.0,0,0,167.2606670420949,46.11116185604677,0.0,0,40.28314176521301,147.68024506077245,524.1665144318598,0.0,0,0,219.82799418086253,46.11116185604677,0.0,0,0,107.7395022760336,0.00159,0.0,0,0,3449.073621295577,248.42140068147395,0.0,0,173.8681482007742,17.642468516535455,2177.0169906612828,0.0,0,2010.038073281249,332.5798172659255,243.78296428571434,0.0,288.0398449502331,234.50928438266115,1027.7295140059582,743.7401443715296,0.0,112.37329688608175,1209.6239764381235,460.40107323154643,1224.5715236853273,5109.43975629015,2377.4798455461128,32.41183374838829,1222.172445243833,184.32582239309943,759.7432715379018,273.9679189612534,451.3160585717844,64.49958940129221,1091.9398875476218,225.41269327926636,170.63844834368228,1042.3449653225073,2895.4342326751544,1386.6772673181845,6068.60657875349,4152.202770563697,613.1128058483655,643.1830707200736,6613.8926467747715,229.28960208924184,17.069339683721644,593.407147588031,229.28960208924184,64.49958940129221,443.58246722761623,743.0991614437445,1211.8730783474439,10043.413054337589,1224.5715236853273,5109.43975629015,1042.3449653225073,1091.9398875476218,170.63844834368228,225.41269327926636,5327.363171359644,451.3160585717844,273.9679189612534,213.37182889814167,234.07454868203223,743.9945086127224,153.85066413208037,2377.4798455461128,759.7432715379018,32.41183374838829,1222.172445243833,184.32582239309943,3449.075211295577,439.9320173987836,4519.634881208457,1794.061607624567,2526.138490927281,643.1830707200736,6613.8926467747715,6068.60657875349,4152.202770563697,2895.4342326751544,1386.6772673181845,613.1128058483655
